Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
"TESLA Model X Performance (20"")",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2X,standard SUV,10,90,89,90,10,Elite
"TESLA Model X Performance (20"")",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2X,standard SUV,10,90,89,90,10,Elite
"TESLA Model X Performance (22"")",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2X,standard SUV,10,80,77,79,10,Elite
"TESLA Model X Performance (22"")",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2X,standard SUV,10,80,77,79,10,Elite
TESLA Model X Standard Range,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KTSLV00.0L2X,standard SUV,10,105,98,101,10,Elite
TESLA Model X Standard Range,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KTSLV00.0L2X,standard SUV,10,105,98,101,10,Elite
TOYOTA Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTYXV02.5P33,midsize car,7,43,43,43,9,Yes
TOYOTA Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KTYXV02.5P33,midsize car,7,43,43,43,9,Yes
TOYOTA Avalon Hybrid XLE,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTYXV02.5P33,midsize car,7,43,44,44,10,Elite
TOYOTA Avalon Hybrid XLE,2.5,4,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KTYXV02.5P33,midsize car,7,43,44,44,10,Elite
TOYOTA Camry,2.5,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTYXV02.5P3A,midsize car,7,29,41,34,8,Yes
TOYOTA Camry,2.5,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KTYXV02.5P3A,midsize car,7,29,41,34,8,Yes
TOYOTA Camry Hybrid LE,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTYXV02.5P35,midsize car,7,51,53,52,10,Elite
TOYOTA Camry Hybrid LE,2.5,4,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KTYXV02.5P35,midsize car,7,51,53,52,10,Elite
TOYOTA Camry Hybrid XLE/SE,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTYXV02.5P33,midsize car,7,44,47,46,10,Elite
